timestep,v_cmd,w_cmd,d_tg,dtheta_tg
1,-0.21761834621429443,0.34590983390808105,6.321122395204124,0.017949255602774057
2,-0.14704135060310364,0.398496150970459,6.310807906174606,0.06604059691437782
3,-0.09109210968017578,0.4192076325416565,6.308052251485381,0.10890530913098101
4,0.1444208025932312,0.45174479484558105,6.3094550185905565,0.15973613006674475
5,0.16877520084381104,0.46708911657333374,6.322635083806656,0.21481274546621018
6,0.13598203659057617,0.47779107093811035,6.330016754321566,0.261902650931125
7,0.1139669418334961,0.4842475652694702,6.334698519176157,0.3122855049121898
8,0.17679071426391602,0.48039674758911133,6.344958541608854,0.3604873810043859
9,-0.20604044198989868,0.4803798198699951,6.349096161563758,0.41371591191156953
10,-0.4215202331542969,0.485520601272583,6.339273763910737,0.48011784689428905
11,-0.42658889293670654,0.47224128246307373,6.31862367926054,0.5477888815342014
12,-0.447115957736969,0.37948036193847656,6.286760915494627,0.6071721922354673
13,-0.4083608090877533,-0.24423354864120483,6.253586221099551,0.6036446637429094
14,-0.3752134442329407,-0.3770548701286316,6.223235304201382,0.5717687530859064
15,-0.3747720420360565,-0.3848666548728943,6.1953639046590565,0.533886189335406
16,-0.3885294497013092,-0.35650086402893066,6.167660104325295,0.49778744327537694
17,-0.402148962020874,-0.2991337180137634,6.1398814014311265,0.46684805482636765
18,-0.4026258587837219,-0.20514613389968872,6.112556396280964,0.4446223699638014
19,-0.43075332045555115,-0.11923655867576599,6.0852622287250355,0.4305807353299126
20,-0.4600648880004883,-0.04408031702041626,6.056379290174011,0.42576830051298187
21,-0.4710029661655426,0.03674274682998657,6.02659938771561,0.42745225233907247
22,-0.4747430980205536,0.07981020212173462,5.996358915019178,0.4325776778813861
23,-0.47694775462150574,0.12395316362380981,5.965790015683123,0.4429368933201245
24,-0.4784441888332367,0.15104973316192627,5.934804855458394,0.4570149245134417
25,-0.47919073700904846,0.1529739499092102,5.903591857509201,0.4709467097147966
26,-0.4791482985019684,0.17318207025527954,5.87162905966731,0.48530067530352716
27,-0.47856298089027405,0.22237783670425415,5.839310053719927,0.5048217052536432
28,-0.47652512788772583,0.18052703142166138,5.807037515712915,0.5237663186001085
29,-0.4741916060447693,0.11271840333938599,5.774245092180361,0.536204465438843
