timestep,v_cmd,w_cmd,d_tg,dtheta_tg
1,-0.4628266990184784,0.43040740489959717,6.320763178323655,0.022037666412715536
2,-0.44470342993736267,0.4725128412246704,6.302259473160532,0.08642294114178718
3,-0.43341064453125,0.473552942276001,6.276054089003718,0.15276621278201583
4,-0.426466166973114,0.4746829867362976,6.2516703266027225,0.20728189173176975
5,-0.4312472343444824,0.47166645526885986,6.228050395720288,0.24775560811198716
6,-0.4347955286502838,0.47075891494750977,6.203230316321539,0.2948488685487736
7,-0.4481236934661865,0.46088743209838867,6.176426258038023,0.3390236765719432
8,-0.45089221000671387,0.45823532342910767,6.147540907412464,0.385574028350369
9,-0.45928704738616943,0.4188154339790344,6.116425777807763,0.42665615213010016
10,-0.4573535919189453,0.3676793575286865,6.08487111336421,0.4654723962695099
11,-0.45751094818115234,0.2986302375793457,6.053263280412514,0.49453095397919467
12,-0.4612940549850464,0.2732275128364563,6.020950830226193,0.523013972042036
13,-0.45810437202453613,0.2765212059020996,5.9878220372479385,0.551141871916313
14,-0.45928755402565,0.26526445150375366,5.9543219853398615,0.5778183880746388
15,-0.46064966917037964,0.24735450744628906,5.919968263171299,0.6024330990321085
16,-0.4595535099506378,0.2245890498161316,5.885144714940522,0.623363814964627
17,-0.46004828810691833,0.17509949207305908,5.849984235310976,0.6397573032139778
18,-0.4603063762187958,0.1277526617050171,5.814606165248971,0.6506395745138636
19,-0.46309155225753784,0.04627811908721924,5.779764433296895,0.6551452253499768
20,-0.46703284978866577,-0.0658799409866333,5.744831857211901,0.652557160332685
21,-0.47284677624702454,-0.14698341488838196,5.710092939670281,0.6424506315771247
22,-0.4808519184589386,-0.2568110525608063,5.676044570708351,0.6210506504517866
23,-0.48779094219207764,-0.35041385889053345,5.6424391021902185,0.5921756256727848
24,-0.48829564452171326,-0.34634917974472046,5.608708221633552,0.5623341249671536
25,-0.4750958979129791,-0.08062601089477539,5.576837102542722,0.5510478246725892
26,-0.47724562883377075,0.11451894044876099,5.545406925992738,0.5568478035524419
27,-0.47926369309425354,0.17046058177947998,5.5132405823371995,0.5714875351298588
28,-0.48158639669418335,0.23208534717559814,5.480279635701561,0.5919965433777383
29,-0.48374706506729126,0.2798703908920288,5.446456805644552,0.6176314219298434
30,-0.48616012930870056,0.29697930812835693,5.411443376333285,0.6426917597122589
31,-0.48755568265914917,0.34936803579330444,5.375206613097206,0.673016209526021
32,-0.4884062707424164,0.3265812397003174,5.340023853589712,0.7026221638939748
33,-0.48773279786109924,0.3460924029350281,5.301789899710223,0.7377309098473344
34,-0.4866804778575897,0.3517424464225769,5.262946253807232,0.7669550525534331
35,-0.48530569672584534,0.3582919239997864,5.223527177548487,0.7975837115020543
36,-0.48411011695861816,0.4090479612350464,5.182871565036465,0.8323644408560513
37,-0.4855513870716095,0.48152685165405273,5.141645209266813,0.8802315516938994
38,-0.48510974645614624,0.4858924150466919,5.098003340679343,0.9290717100513775
39,-0.4850251376628876,0.48977363109588623,5.053029723493589,0.9750362763689588
40,-0.4841685891151428,0.48936927318573,5.006853111434796,1.0216523062293468
41,-0.4837157726287842,0.49147146940231323,4.9593708080815135,1.0693388003377375
42,-0.48371341824531555,0.4920635223388672,4.912130192583997,1.1184380285601752
43,-0.48167383670806885,0.4920440912246704,4.865132365268906,1.1717673819486396
44,-0.48248520493507385,0.49208563566207886,4.8158040476828585,1.218667973226028
45,-0.48316720128059387,0.4917396903038025,4.765189149381472,1.2602015522896943
46,-0.4841999113559723,0.4903184175491333,4.714813960180846,1.3061466132811161
47,-0.4846448302268982,0.4907362461090088,4.664497869187842,1.3558477759610916
48,-0.48497694730758667,0.4886589050292969,4.613780037778921,1.4008941582363454
49,-0.485119491815567,0.4859647750854492,4.562750008558313,1.4444382466591428
50,-0.4844769239425659,0.4783761501312256,4.5111968566362926,1.492170579120953
51,-0.46997228264808655,0.3997119665145874,4.461324682037024,1.5328013568021406
52,-0.480106383562088,0.28080201148986816,4.412498033339249,1.5627620242757196
53,-0.47885242104530334,0.28321343660354614,4.364571001415628,1.592058181848725
