#{"t_start": 1768871997.2884946, "env_id": "None"}
r,l,t
-600.0,600,7827.059837
-600.0,600,7877.002704
-600.0,600,7941.132446
-600.0,600,8178.161564
-600.0,600,8189.487836
-1016.0,17,8198.100154
-600.0,600,8241.814949
-600.0,600,8254.525848
-1131.0,132,8266.202853
-1009.0,10,8271.422099
-600.0,600,8288.799791
-1297.0,298,8290.385191
-1515.0,516,8290.930729
-600.0,600,8384.716271
-600.0,600,8490.235492
-600.0,600,8556.626629
-600.0,600,8569.801373
-172.0,173,8581.708264
-600.0,600,8586.440696
-600.0,600,8603.750214
-600.0,600,8605.354975
-600.0,600,8605.859388
-1100.0,101,8622.506923
-1063.0,64,8639.035722
-600.0,600,8699.301125
-272.0,273,8765.817936
-600.0,600,8871.117781
-600.0,600,8896.501232
-600.0,600,8901.153857
-600.0,600,8918.406722
-600.0,600,8919.987824
-600.0,600,8954.155117
-117.0,118,8958.283021
-82.0,83,8963.539096
-137.0,138,8990.847747
-600.0,600,9014.576694
-290.0,291,9053.885641
-600.0,600,9080.67103
-1438.0,439,9101.520183
-1380.0,381,9158.15221
-600.0,600,9269.397344
-1007.0,8,9273.616948
-600.0,600,9278.905561
-1056.0,57,9303.395683
-600.0,600,9305.903395
-1058.0,59,9309.509303
-1499.0,500,9316.342018
-600.0,600,9329.784321
-600.0,600,9395.773749
-600.0,600,9416.749102
-1218.0,219,9431.421188
-600.0,600,9473.470345
-1102.0,103,9485.901286
-600.0,600,9619.193089
-600.0,600,9621.838115
-600.0,600,9625.486333
-600.0,600,9645.059284
-600.0,600,9710.708602
-600.0,600,9731.886885
-600.0,600,9787.864925
-600.0,600,9799.912515
-331.0,332,9818.057423
-383.0,384,9821.946373
-1059.0,60,9831.181368
-164.0,165,9917.057192
-600.0,600,9931.65132
-600.0,600,9937.859432
-1384.0,385,10018.803066
-600.0,600,10023.537592
-600.0,600,10044.55901
-600.0,600,10101.261666
-158.0,159,10102.306305
-123.0,124,10109.713401
-31.0,32,10118.153738
-600.0,600,10135.412709
-81.0,82,10178.47399
-600.0,600,10232.636182
-600.0,600,10247.336113
-600.0,600,10253.682368
-208.0,209,10289.512233
-78.0,79,10295.278875
-600.0,600,10339.541767
-243.0,244,10360.710786
-1571.0,572,10411.091639
-600.0,600,10418.356456
-600.0,600,10434.215859
-406.0,407,10508.654201
-600.0,600,10562.207612
-600.0,600,10604.485959
-600.0,600,10655.334767
-600.0,600,10676.312123
-600.0,600,10727.309154
-600.0,600,10734.555296
-600.0,600,10750.500676
-600.0,600,10978.577527
-600.0,600,11031.55348
-600.0,600,11073.197253
-600.0,600,11123.428379
-600.0,600,11144.256415
-1340.0,341,11156.355538
-600.0,600,11194.642327
-600.0,600,11201.784744
-600.0,600,11217.424274
-353.0,354,11308.543386
-293.0,294,11310.075942
-1003.0,4,11312.173936
-1572.0,573,11330.944931
-350.0,351,11377.989704
-600.0,600,11386.659262
-100.0,101,11430.889525
-252.0,253,11440.814808
-480.0,481,11453.435254
-600.0,600,11458.183062
-148.0,149,11509.726302
-120.0,121,11517.538553
-600.0,600,11532.190451
-98.0,99,11561.517847
-121.0,122,11596.409771
-93.0,94,11610.945598
-600.0,600,11627.412198
-600.0,600,11646.127747
-600.0,600,11702.25259
-217.0,218,11725.098633
-61.0,62,11734.393673
-600.0,600,11755.695685
-231.0,232,11767.014698
-600.0,600,11772.756615
-91.0,92,11772.756675
-496.0,497,11777.426998
-1077.0,78,11807.685398
-108.0,109,11829.483054
-213.0,214,11845.91068
-62.0,63,11879.003415
-237.0,238,11897.152148
-600.0,600,11909.49693
-1204.0,205,11914.715954
-94.0,95,11928.305339
-600.0,600,11940.17257
-105.0,106,11952.36688
-94.0,95,11958.978599
-82.0,83,11971.605903
-63.0,64,11992.195236
-1197.0,198,12017.466812
-59.0,60,12048.987843
-600.0,600,12068.46742
-600.0,600,12090.399134
-42.0,43,12090.930938
-270.0,271,12133.613034
-362.0,363,12141.315171
-600.0,600,12142.37021
-100.0,101,12142.880938
-105.0,106,12146.001955
-42.0,43,12155.9667
-59.0,60,12177.542583
-1103.0,104,12232.067625
-1168.0,169,12244.675957
-1204.0,205,12249.909275
-600.0,600,12253.630813
-221.0,222,12259.317881
-26.0,27,12267.797326
-600.0,600,12284.868274
-100.0,101,12297.418671
-46.0,47,12321.812423
-111.0,112,12343.213043
-586.0,587,12355.775504
-1258.0,259,12367.526803
-46.0,47,12368.074866
-39.0,40,12388.691246
-111.0,112,12414.730738
-125.0,126,12434.016665
-1560.0,561,12435.06557
-1326.0,327,12438.733326
-116.0,117,12449.5367
-29.0,30,12454.167264
-73.0,74,12472.216548
-181.0,182,12529.424883
-193.0,194,12554.902787
-455.0,456,12559.622898
-600.0,600,12562.744646
-600.0,600,12572.141995
-321.0,322,12581.964049
-61.0,62,12587.165613
-91.0,92,12610.686059
-313.0,314,12612.808929
-97.0,98,12638.155408
-49.0,50,12664.018613
-120.0,121,12675.462118
-1093.0,94,12713.01592
-73.0,74,12751.230582
-285.0,286,12759.310998
-600.0,600,12783.857989
-38.0,39,12804.066532
-127.0,128,12825.60764
-600.0,600,12841.097493
-600.0,600,12871.221379
-600.0,600,12883.829155
-600.0,600,12893.769993
-161.0,162,12910.188098
-74.0,75,12910.732619
-111.0,112,12968.654448
-600.0,600,12987.80648
-386.0,387,13005.933134
-489.0,490,13006.474415
-24.0,25,13018.967412
-1037.0,38,13038.870806
-252.0,253,13042.569389
-48.0,49,13064.406982
-1252.0,253,13100.726773
-121.0,122,13128.345783
-569.0,570,13138.515891
-342.0,343,13166.754488
-85.0,86,13173.004862
-584.0,585,13189.218322
-600.0,600,13206.889788
-398.0,399,13214.702581
-120.0,121,13235.9957
-139.0,140,13239.61573
-41.0,42,13261.510028
-249.0,250,13319.136006
-167.0,168,13323.243482
-138.0,139,13333.601156
-461.0,462,13340.964291
-393.0,394,13343.473864
-600.0,600,13354.934332
-71.0,72,13360.642767
-58.0,59,13364.32531
-91.0,92,13408.786182
-109.0,110,13421.837565
-195.0,196,13445.40422
-67.0,68,13456.590469
-110.0,111,13465.97607
-52.0,53,13493.508669
-73.0,74,13495.066816
-107.0,108,13501.538655
-600.0,600,13518.889501
-600.0,600,13526.687247
-55.0,56,13530.955469
-1084.0,85,13539.903649
-89.0,90,13540.939413
-57.0,58,13655.428177
-86.0,87,13657.355975
-123.0,124,13668.514797
-91.0,92,13673.585596
-52.0,53,13695.7451
-1164.0,165,13701.300496
-600.0,600,13715.622748
-600.0,600,13737.522071
-600.0,600,13751.407588
-186.0,187,13753.505813
-99.0,100,13767.549071
-82.0,83,13810.317551
-166.0,167,13840.301965
-73.0,74,13849.144121
-345.0,346,13875.585386
-428.0,429,13877.758964
-71.0,72,13887.06675
-1482.0,483,13923.955622
-345.0,346,13931.080295
-1167.0,168,13973.737528
-1521.0,522,14008.65544
-600.0,600,14012.925907
-1209.0,210,14033.216222
-157.0,158,14056.266028
-1196.0,197,14111.993754
-453.0,454,14114.088191
-153.0,154,14136.832135
-600.0,600,14153.13555
-229.0,230,14153.682163
-1004.0,5,14155.751894
-47.0,48,14179.076583
-600.0,600,14188.583286
-89.0,90,14235.373668
-600.0,600,14244.771734
-179.0,180,14272.955445
-392.0,393,14317.582428
-600.0,600,14327.117098
-177.0,178,14328.733265
-241.0,242,14372.949964
-84.0,85,14374.510204
-53.0,54,14400.882839
-600.0,600,14428.875034
-600.0,600,14452.687577
-600.0,600,14472.075233
-119.0,120,14535.792119
-1315.0,316,14541.675233
-213.0,214,14543.318385
-275.0,276,14547.608225
-1433.0,434,14548.179757
-600.0,600,14591.919452
-186.0,187,14643.463691
-600.0,600,14646.60696
-1318.0,319,14712.495564
-103.0,104,14767.829682
-600.0,600,14773.234446
-1339.0,340,14773.234505
-1252.0,253,14781.664323
-1267.0,268,14786.405837
-27.0,28,14787.967786
-1464.0,465,14796.064513
-1489.0,490,14797.662873
-1064.0,65,14816.665675
-103.0,104,14823.592448
-1524.0,525,14828.856847
-69.0,70,14860.847673
-95.0,96,14880.160576
-1234.0,235,14912.282503
-262.0,263,14929.088161
-1002.0,3,14930.699368
-1156.0,157,14964.296096
-1283.0,284,14968.586098
-245.0,246,15044.446567
-68.0,69,15081.086529
-600.0,600,15094.430631
-45.0,46,15105.533653
-600.0,600,15117.209474
-600.0,600,15118.823516
-600.0,600,15181.789629
-1043.0,44,15205.45904
-169.0,170,15208.148825
-468.0,469,15215.146583
-600.0,600,15251.379587
-600.0,600,15289.016786
-102.0,103,15305.951973
-1256.0,257,15351.58315
-136.0,137,15361.64492
-58.0,59,15383.048788
-191.0,192,15408.100919
-600.0,600,15414.055521
-600.0,600,15425.319509
-600.0,600,15438.599422
-1580.0,581,15514.738149
-600.0,600,15527.616717
-200.0,201,15532.322811
-243.0,244,15568.610707
-101.0,102,15569.140538
-1005.0,6,15571.838039
-1342.0,343,15596.853933
-409.0,410,15626.742564
-1204.0,205,15637.001486
-1126.0,127,15637.001548
-194.0,195,15675.54096
-1101.0,102,15680.887968
-600.0,600,15681.456249
-600.0,600,15702.629265
-328.0,329,15707.425889
-1133.0,134,15707.987703
-1267.0,268,15778.637798
-261.0,262,15819.343459
-308.0,309,15844.802629
-125.0,126,15845.33272
-94.0,95,15869.720442
-54.0,55,15874.441739
-351.0,352,15893.621909
-1094.0,95,15895.172528
-600.0,600,15914.674179
-1213.0,214,15987.044329
-140.0,141,15988.607174
-600.0,600,15992.179303
-600.0,600,16019.00984
-600.0,600,16024.38719
-113.0,114,16052.326805
-165.0,166,16075.9472
-408.0,409,16108.800307
-314.0,315,16153.280994
-600.0,600,16185.848015
-84.0,85,16197.926581
-600.0,600,16211.395562
-1205.0,206,16217.831966
-114.0,115,16247.094601
-1121.0,122,16262.881519
-1501.0,502,16284.65208
-600.0,600,16520.625328
-600.0,600,16548.594224
-600.0,600,16572.538779
-392.0,393,16649.452426
-600.0,600,16707.427316
-600.0,600,16713.704362
-152.0,153,16730.056031
-600.0,600,16742.901686
-600.0,600,16780.412593
-395.0,396,16781.492531
-1116.0,117,16804.717708
-600.0,600,16837.169013
-1123.0,124,16845.385244
-600.0,600,16864.974987
-1435.0,436,17011.16571
-600.0,600,17023.807058
-600.0,600,17030.066221
-600.0,600,17046.469476
-57.0,58,17077.269348
-109.0,110,17081.929472
-26.0,27,17091.361517
-600.0,600,17120.534091
-182.0,183,17126.294039
-600.0,600,17153.343174
-600.0,600,17161.902037
-1138.0,139,17164.521255
-1187.0,188,17180.802493
-600.0,600,17181.364446
-1096.0,97,17213.066128
-1096.0,97,17232.263768
-600.0,600,17327.25349
-1259.0,260,17369.562377
-1296.0,297,17369.562436
-1007.0,8,17373.801444
-1476.0,477,17378.06741
-1374.0,375,17378.624038
-1566.0,567,17419.456968
-600.0,600,17469.573792
-600.0,600,17480.60173
-1184.0,185,17517.109386
-150.0,151,17560.570548
-1558.0,559,17622.361233
-1209.0,210,17628.147422
-1584.0,585,17683.195447
-600.0,600,17686.837853
-1006.0,7,17686.837917
-1237.0,238,17686.83793
-600.0,600,17695.073722
-600.0,600,17695.619258
-1001.0,2,17696.620729
-1102.0,103,17750.697648
-600.0,600,17786.749135
-1498.0,499,17891.410316
-600.0,600,17939.100284
-600.0,600,18002.977531
-600.0,600,18002.977606
-600.0,600,18002.977619
-600.0,600,18011.274018
-600.0,600,18066.721764
-600.0,600,18102.61474
-600.0,600,18207.803127
-1285.0,286,18253.207438
-600.0,600,18254.779082
-552.0,553,18293.758773
-1578.0,579,18307.356161
-1463.0,464,18310.98948
-600.0,600,18318.392913
-600.0,600,18326.762755
-600.0,600,18522.057239
-1436.0,437,18522.583939
-600.0,600,18567.136482
-600.0,600,18568.623164
-600.0,600,18620.812376
-600.0,600,18624.483181
-600.0,600,18631.72901
-600.0,600,18639.849719
-1159.0,160,18707.797908
-1356.0,357,18708.332648
-358.0,359,18708.847561
-1280.0,281,18713.545659
-1345.0,346,18820.345443
-1248.0,249,18837.874752
-1587.0,588,18874.805012
-600.0,600,18933.402702
-1429.0,430,18937.463821
-600.0,600,18944.471878
-600.0,600,19021.200262
-600.0,600,19022.238297
-1491.0,492,19078.003155
-600.0,600,19329.902335
-1417.0,418,19341.511649
-600.0,600,19367.369668
-1373.0,374,19396.20336
-1270.0,271,19397.717577
-600.0,600,19425.811208
-1168.0,169,19430.058558
-600.0,600,19430.058619
-474.0,475,19447.964371
-1205.0,206,19475.189708
-600.0,600,19645.550901
-1407.0,408,19662.853695
-1028.0,29,19678.17413
-600.0,600,19711.775924
-600.0,600,19713.368259
-1474.0,475,19725.334591
-1026.0,27,19739.385457
-600.0,600,19741.497277
-600.0,600,19745.782812
-600.0,600,19745.782874
-1128.0,129,19779.67653
-1176.0,177,19834.758023
-1124.0,125,19845.360855
-1211.0,212,19857.396137
-1289.0,290,19865.887079
-1186.0,187,19933.282017
-1559.0,560,19940.119856
-1410.0,411,19962.008123
-1541.0,542,19963.088937
-1081.0,82,19983.069903
-1126.0,127,19999.943096
-1074.0,75,20001.493556
-1324.0,325,20028.415844
-1099.0,100,20035.839836
-1034.0,35,20047.009007
-600.0,600,20055.499841
-1080.0,81,20097.760334
-1008.0,9,20102.423141
-1482.0,483,20119.889142
-1246.0,247,20129.947575
-1181.0,182,20142.573068
-1002.0,3,20144.171575
-600.0,600,20161.08656
-1130.0,131,20198.885147
-1383.0,384,20203.515586
-1236.0,237,20268.26937
-1334.0,335,20278.434847
-600.0,600,20278.434907
-1398.0,399,20329.404082
-1131.0,132,20337.907706
-600.0,600,20351.040222
-1030.0,31,20354.186458
-1310.0,311,20362.002072
-1370.0,371,20398.352323
-1126.0,127,20420.671844
-1194.0,195,20431.609777
-600.0,600,20475.692474
-1437.0,438,20508.110031
-1176.0,177,20513.394333
-1056.0,57,20543.383084
-1389.0,390,20555.426356
-600.0,600,20592.701734
-1184.0,185,20604.714086
-1419.0,420,20617.59989
-600.0,600,20675.802163
-1259.0,260,20728.326268
-600.0,600,20744.991304
-600.0,600,20788.908254
-600.0,600,20856.197006
-600.0,600,20868.213223
-600.0,600,20917.957185
-600.0,600,20930.931073
-1274.0,275,20932.527198
-1041.0,42,20939.880713
-600.0,600,20988.653119
-1072.0,73,21026.89423
-1594.0,595,21038.739951
-600.0,600,21058.138283
-1117.0,118,21100.548324
-1169.0,170,21115.759353
-600.0,600,21169.551228
-600.0,600,21181.579602
-514.0,515,21199.805868
-1244.0,245,21228.621081
-600.0,600,21245.62893
-600.0,600,21253.03435
-1192.0,193,21300.303323
-600.0,600,21371.256975
-600.0,600,21428.195748
-1500.0,501,21430.273413
-600.0,600,21493.169384
-600.0,600,21539.616061
-600.0,600,21556.670673
-600.0,600,21563.890215
-1058.0,59,21570.215661
-600.0,600,21611.209033
-600.0,600,21682.057989
-600.0,600,21739.889438
-600.0,600,21741.94785
-1289.0,290,21762.74029
-600.0,600,21805.910134
-600.0,600,21870.577055
