#{"t_start": 1768932751.0048501, "env_id": "None"}
r,l,t
-1158.0,159,13.306726
-1249.0,250,17.264154
-1377.0,378,30.732843
-1335.0,336,32.846299
-600.0,600,33.483126
-600.0,600,33.483188
-600.0,600,33.483201
-600.0,600,33.483211
-600.0,600,33.48322
-600.0,600,33.483229
-1047.0,48,56.812865
-1119.0,120,86.806212
-1057.0,58,117.769599
-1224.0,225,150.058986
-1466.0,467,286.511484
-1583.0,584,319.22282
-600.0,600,367.71274
-600.0,600,367.712818
-600.0,600,367.712834
-1587.0,588,390.983875
-600.0,600,470.444488
-1213.0,214,501.491519
-600.0,600,508.45163
-1040.0,41,533.774477
-1367.0,368,595.952163
-1268.0,269,637.165291
-600.0,600,658.463696
-600.0,600,692.485766
-600.0,600,743.888515
-600.0,600,767.572463
-600.0,600,882.526613
-600.0,600,915.413825
-600.0,600,979.343156
-1599.0,600,1020.601183
-1029.0,30,1039.122418
-600.0,600,1041.471331
-600.0,600,1075.801008
-600.0,600,1126.797857
-600.0,600,1150.25565
-1086.0,87,1206.96565
-600.0,600,1267.063094
-1583.0,584,1289.786295
-600.0,600,1364.248055
-600.0,600,1425.821269
-600.0,600,1428.794945
-600.0,600,1465.925038
-600.0,600,1518.80438
-600.0,600,1601.57505
-1281.0,282,1618.660372
-1056.0,57,1656.058497
-600.0,600,1661.245879
-1375.0,376,1677.066247
-600.0,600,1683.806173
-600.0,600,1759.489449
-253.0,254,1825.530417
-600.0,600,1861.217304
-600.0,600,1914.044462
-600.0,600,1997.304642
-600.0,600,2051.822249
-600.0,600,2073.324224
-600.0,600,2081.368701
-1160.0,161,2105.60786
-600.0,600,2162.426014
-600.0,600,2230.828265
-600.0,600,2266.949387
-1532.0,533,2274.993327
-600.0,600,2463.095201
-1599.0,600,2487.179312
-600.0,600,2495.148123
-600.0,600,2518.67688
-1085.0,86,2525.018187
-600.0,600,2581.557633
-600.0,600,2652.25958
-600.0,600,2689.064193
-600.0,600,2697.323039
-1274.0,275,2720.929955
-600.0,600,3078.094824
-600.0,600,3083.920419
-600.0,600,3103.609105
-600.0,600,3157.460897
-600.0,600,3229.490391
-600.0,600,3269.72071
-600.0,600,3279.621028
-600.0,600,3305.846952
-1307.0,308,3324.620429
-1383.0,384,3348.34328
-1245.0,246,3461.914539
-1168.0,169,3471.16142
-1543.0,544,3472.66779
-600.0,600,3603.472706
-1200.0,201,3622.689094
-1048.0,49,3641.775988
-1053.0,54,3663.780684
-600.0,600,3680.622529
-600.0,600,3721.601599
-600.0,600,3754.493049
-1131.0,132,3763.569156
-600.0,600,3773.436084
-1084.0,85,3837.289525
-1239.0,240,3901.692769
-600.0,600,3915.430947
-600.0,600,3927.947193
-1269.0,270,3962.030707
-1343.0,344,4029.046112
-236.0,237,4088.120384
-600.0,600,4103.408249
-600.0,600,4144.204172
-1487.0,488,4222.708424
-1243.0,244,4224.412381
-143.0,144,4263.016856
-1191.0,192,4386.051125
-600.0,600,4403.152115
-600.0,600,4416.024287
-600.0,600,4452.898879
-499.0,500,4521.505871
-1385.0,386,4550.393238
-600.0,600,4590.727895
-1091.0,92,4600.070121
-1215.0,216,4600.931626
-600.0,600,4773.458607
-600.0,600,4897.925792
-600.0,600,4914.705578
-600.0,600,4963.894649
-600.0,600,5060.708918
-600.0,600,5100.865543
-600.0,600,5110.351355
-600.0,600,5111.237633
-600.0,600,5285.716503
-600.0,600,5414.037673
-600.0,600,5431.655803
-600.0,600,5482.866932
-600.0,600,5583.448092
-600.0,600,5625.032285
-600.0,600,5634.666374
-600.0,600,5635.53153
-1325.0,326,5719.165462
-1313.0,314,5759.640433
-600.0,600,5813.279757
-600.0,600,5942.461441
-1327.0,328,6047.824067
-600.0,600,6111.410621
-600.0,600,6152.921932
-1009.0,10,6161.771088
-600.0,600,6162.662016
-600.0,600,6163.567747
-600.0,600,6246.968632
-600.0,600,6341.287253
-240.0,241,6459.550842
-600.0,600,6471.066262
-173.0,174,6494.932586
-1050.0,51,6516.045124
-600.0,600,6576.935932
-1060.0,61,6630.719895
-600.0,600,6640.456773
-600.0,600,6690.610863
-600.0,600,6691.483573
-600.0,600,6692.381507
-1294.0,295,6900.719315
-600.0,600,6989.318321
-600.0,600,7024.411656
-600.0,600,7045.658346
-1436.0,437,7076.491509
-600.0,600,7160.450034
-600.0,600,7389.266207
-600.0,600,7390.132253
-1047.0,48,7431.866879
